fact;length;processed_at
Unlike dogs, cats do not have a sweet tooth. Scientists believe this is due to a mutation in a key taste receptor.;114;2025-06-29 20:40:10
When a cat chases its prey, it keeps its head level. Dogs and humans bob their heads up and down.;97;2025-06-29 20:40:10
The technical term for a cat’s hairball is a “bezoar.”;54;2025-06-29 20:40:10
A group of cats is called a “clowder.”;38;2025-06-29 20:40:10
A cat can’t climb head first down a tree because every claw on a cat’s paw points the same way. To get down from a tree, a cat must back down.;142;2025-06-29 20:40:10
Cats make about 100 different sounds. Dogs make only about 10.;62;2025-06-29 20:40:10
Every year, nearly four million cats are eaten in Asia.;55;2025-06-29 20:40:10
There are more than 500 million domestic cats in the world, with approximately 40 recognized breeds.;100;2025-06-29 20:40:10
Approximately 24 cat skins can make a coat.;43;2025-06-29 20:40:10
While it is commonly thought that the ancient Egyptians were the first to domesticate cats, the oldest known pet cat was recently found in a 9,500-year-old grave on the Mediterranean island of Cyprus. This grave predates early Egyptian art depicting cats by 4,000 years or more.;278;2025-06-29 20:40:10
During the time of the Spanish Inquisition, Pope Innocent VIII condemned cats as evil and thousands of cats were burned. Unfortunately, the widespread killing of cats led to an explosion of the rat population, which exacerbated the effects of the Black Death.;259;2025-06-29 20:40:10
During the Middle Ages, cats were associated with withcraft, and on St. John’s Day, people all over Europe would stuff them into sacks and toss the cats into bonfires. On holy days, people celebrated by tossing cats from church towers.;235;2025-06-29 20:40:10
The first cat in space was a French cat named Felicette (a.k.a. “Astrocat”) In 1963, France blasted the cat into outer space. Electrodes implanted in her brains sent neurological signals back to Earth. She survived the trip.;224;2025-06-29 20:40:10
The group of words associated with cat (catt, cath, chat, katze) stem from the Latin catus, meaning domestic cat, as opposed to feles, or wild cat.;147;2025-06-29 20:40:10
The term “puss” is the root of the principal word for “cat” in the Romanian term pisica and the root of secondary words in Lithuanian (puz) and Low German puus. Some scholars suggest that “puss” could be imitative of the hissing sound used to get a cat’s attention. As a slang word for the female pudenda, it could be associated with the connotation of a cat being soft, warm, and fuzzy.;387;2025-06-29 20:40:10
Approximately 40,000 people are bitten by cats in the U.S. annually.;68;2025-06-29 20:40:10
Cats are the world's most popular pets, outnumbering dogs by as many as three to one;84;2025-06-29 20:40:10
Cats are North America’s most popular pets: there are 73 million cats compared to 63 million dogs. Over 30% of households in North America own a cat.;149;2025-06-29 20:40:10
